"","Sample Name","AD","ASD","Control","PD","Pred","True"
"171","SRR11825977",0.39023418438119,0.197953376438748,0.349996716911895,0.061815722268168,"AD","AD"
"172","SRR11825978",0.333514452313157,0.275079886107435,0.170048740271668,0.22135692130774,"AD","AD"
"173","SRR11825979",0.318758133212291,0.146854809795656,0.359556227956671,0.174830829035383,"Control","AD"
"174","SRR11825980",0.328789425991899,0.148324782709718,0.243898590914552,0.27898720038383,"AD","AD"
"175","SRR11825981",0.0413892237525045,0.238732125829041,0.65390841283522,0.0659702375832345,"Control","AD"
"176","SRR11825982",0.891673437521171,0.0097239558405035,0.0732164581587617,0.0253861484795637,"AD","AD"
"177","SRR11825983",0.370759686774772,0.140131590156234,0.417813468955253,0.071295254113741,"Control","AD"
"178","SRR11825984",0.107831884293491,0.083299689254579,0.580147977131124,0.228720449320805,"Control","AD"
"179","SRR11825985",0.459186688112795,0.28024818401469,0.132597076650288,0.127968051222228,"AD","AD"
"180","SRR11825986",0.211194602163976,0.0566752913914864,0.689786589133225,0.0423435173113132,"Control","AD"
"181","SRR11825987",0.430149141858961,0.0109435602950287,0.490438742096907,0.0684685557491029,"Control","AD"
"182","SRR11825988",0.115877547973382,0.0783906330934427,0.622309844761713,0.183421974171462,"Control","AD"
"183","SRR11825989",0.648484905862801,0.137014652291201,0.0292891793321595,0.185211262513838,"AD","AD"
"184","SRR11825990",0.534130375308093,0.139566379434448,0.0781021605995336,0.248201084657925,"AD","AD"
"185","SRR11825991",0.550106160250831,0.267627076140846,0.0217240703567645,0.160542693251559,"AD","AD"
"186","SRR11825992",0.424426509950525,0.0239034786571278,0.518647363350805,0.0330226480415421,"Control","AD"
"187","SRR11825993",0.509309334301677,0.121440025959275,0.148226944436707,0.221023695302341,"AD","AD"
"188","SRR11825994",0.462226003720921,0.263961604886752,0.163956199328969,0.109856192063358,"AD","AD"
"189","SRR11825995",0.416449444750701,0.050882258717675,0.170185764162157,0.362482532369467,"AD","AD"
"190","SRR11825996",0.0777709943825447,0.499739899118301,0.228639859809802,0.193849246689352,"ASD","AD"
"191","SRR11825997",0.503198579086231,0.143205439709521,0.25091737084671,0.102678610357538,"AD","AD"
"192","SRR11825998",0.378757527363986,0.461028350325439,0.090000105433458,0.0702140168771171,"ASD","AD"
"193","SRR11825999",0.457046093317492,0.396512817603451,0.0681521218546432,0.0782889672244145,"AD","AD"
"194","SRR11826000",0.127473229979209,0.163750935252801,0.53211153669409,0.1766642980739,"Control","AD"
"195","SRR11826001",0.562072701909477,0.133558529161346,0.118269619292247,0.186099149636931,"AD","AD"
"196","SRR11826002",0.163651366523055,0.305707216990035,0.397830991981996,0.132810424504914,"Control","AD"
"197","SRR11826003",0.600179970036946,0.103721857781209,0.164708113992305,0.13139005818954,"AD","AD"
"198","SRR11826004",0.407178543546334,0.192461313402892,0.0834432626074999,0.316916880443274,"AD","AD"
"199","SRR11826005",0.429767998775408,0.179597251517838,0.259934275422735,0.130700474284019,"AD","AD"
"200","SRR11826006",0.516633446842245,0.0904759100875656,0.210430953534825,0.182459689535364,"AD","AD"
"201","SRR11826007",0.418354384951536,0.19037001250207,0.158042949585331,0.233232652961063,"AD","AD"
"202","SRR11826008",0.471142151019622,0.268964712859913,0.176910738618902,0.0829823975015629,"AD","AD"
"203","SRR11826009",0.361585591730928,0.119186726192431,0.32137505464546,0.19785262743118,"AD","AD"
"204","SRR11826010",0.343858382081876,0.151338243336335,0.216655909105962,0.288147465475827,"AD","AD"
"205","SRR11826011",0.62812378062705,0.0340468546191985,0.155893302315348,0.181936062438404,"AD","AD"
"206","SRR11826012",0.450656410824659,0.132603011841138,0.405162634468707,0.0115779428654961,"AD","AD"
"207","SRR11826013",0.465645901590074,0.259427406945259,0.0959165143802912,0.179010177084375,"AD","AD"
"208","SRR11826014",0.507102113823213,0.119532453967662,0.0288318302825782,0.344533601926547,"AD","AD"
"209","SRR11826015",0.43898287369697,0.388449741905874,0.0642001147920602,0.108367269605095,"AD","AD"
"210","SRR11826016",0.609908006543411,0.0926134086437096,0.155683937986269,0.141794646826611,"AD","AD"
"211","SRR11826017",0.517905484969592,0.0457737238857843,0.398010458753758,0.038310332390865,"AD","AD"
"212","SRR11826018",0.825388143613214,0.0309079848572834,0.0775147337411794,0.0661891377883229,"AD","AD"
"213","SRR11826019",0.0983151626554162,0.135246711193618,0.622730089271408,0.143708036879558,"Control","AD"
"214","SRR11826020",0.30610507384533,0.0846830198542953,0.385559556581933,0.223652349718442,"Control","AD"
"215","SRR11826021",0.550263420735944,0.131189968585618,0.282990973097435,0.0355556375810029,"AD","AD"
"216","SRR11826022",0.749111668838563,0.131236331286354,0.0771682442899863,0.0424837555850961,"AD","AD"
"217","SRR11826023",0.293738014972561,0.142338667954851,0.0898721580939931,0.474051158978594,"PD","AD"
"218","SRR11826024",0.482841061500959,0.219734502128755,0.252327003692441,0.0450974326778446,"AD","AD"
"219","SRR11826025",0.333237599092671,0.172050822435101,0.105462937520679,0.389248640951549,"PD","AD"
"220","SRR11826026",0.378268980776886,0.330126147959185,0.146273450839813,0.145331420424115,"AD","AD"
"221","SRR11826027",0.583216039240883,0.092588477486811,0.0745573501769507,0.249638133095355,"AD","AD"
"222","SRR16303365",0.309236603748441,0.131051433616155,0.117846938765595,0.441865023869809,"PD","Control"
"223","SRR16303453",0.145660845866675,0.398572796324202,0.319660511387989,0.136105846421134,"ASD","Control"
"224","SRR16303454",0.14959421048551,0.0538423479420029,0.61584737137265,0.180716070199838,"Control","Control"
"225","SRR16303455",0.300537944155575,0.192069204552659,0.372603189675202,0.134789661616564,"Control","Control"
"226","SRR16303456",0.145371932219303,0.239051507541114,0.228464443905909,0.387112116333673,"PD","Control"
"227","SRR16303457",0.351368302270885,0.0054925612307396,0.602421049514671,0.0407180869837051,"Control","Control"
"228","SRR16303458",0.0131603215794026,0.664821150664404,0.2176040740522,0.104414453703994,"ASD","Control"
"229","SRR16303459",0.149214971291905,0.0853037299988208,0.49010298830606,0.275378310403214,"Control","Control"
"230","SRR16303460",0.20885587960813,0.352097951614933,0.392538541562358,0.0465076272145783,"Control","Control"
"231","SRR16303462",0.131357759501912,0.351353588347212,0.404982040765889,0.112306611384987,"Control","Control"
"232","SRR16303463",0.0232930658015449,0.15399105878079,0.769543440916641,0.0531724345010237,"Control","Control"
"233","SRR16303464",0.322851014590288,0.0572505819546334,0.583416147526376,0.0364822559287024,"Control","Control"
"234","SRR16303465",0.236128218744949,0.101834220488381,0.506980204488495,0.155057356278175,"Control","Control"
"235","SRR16303466",0.212356112917603,0.197890965843324,0.313603180130554,0.276149741108519,"Control","Control"
"236","SRR16303467",0.067882515606797,0.354703631017754,0.163165903040813,0.414247950334636,"PD","Control"
"237","SRR16303468",0.118491054028872,0.625353571948403,0.0262761395500666,0.229879234472658,"ASD","Control"
"238","SRR16303469",0.0340100962865978,0.0920005588432255,0.579914504084112,0.294074840786064,"Control","Control"
"239","SRR16303470",0.0978735474460457,0.0505974440664771,0.0726713666801886,0.778857641807289,"PD","Control"
"240","SRR16303471",0.0919099879558975,0.200410075212118,0.0336557720959327,0.674024164736052,"PD","Control"
"241","SRR16303473",0.0691283204040336,0.0233696829637078,0.845337266080725,0.062164730551534,"Control","Control"
"242","SRR16303474",0.0579677215226318,0.104493751188872,0.534009208587453,0.303529318701043,"Control","Control"
"243","SRR16303475",0.192557078303659,0.204640721402659,0.454236277078726,0.148565923214956,"Control","Control"
"244","SRR16303476",0.141522839485292,0.0744278204829451,0.726036632736,0.0580127072957628,"Control","Control"
"245","SRR16303477",0.0873100060459438,0.142844317975233,0.715871091210688,0.0539745847681348,"Control","Control"
"246","SRR16303478",0.255318873984382,0.0405025703639205,0.599032634849522,0.105145920802175,"Control","Control"
"247","SRR16303479",0.312175035093543,0.157882006988596,0.448610439477408,0.0813325184404527,"Control","Control"
"248","SRR16303480",0.0640059754003281,0.030681769887078,0.854943996254382,0.050368258458212,"Control","Control"
"249","SRR16303481",0.0754231811351339,0.248501336247654,0.472354988498583,0.203720494118628,"Control","Control"
"250","SRR16303482",0.264298039279813,0.271198654781425,0.164009301029889,0.300494004908873,"PD","Control"
"251","SRR16303484",0.267691303230801,0.248222907771777,0.0175816732153767,0.466504115782045,"PD","Control"
"252","SRR16303485",0.350546881289229,0.103549974956057,0.451779138792507,0.0941240049622071,"Control","AD"
"253","SRR16303486",0.357208556934384,0.207688217979809,0.267824252890586,0.167278972195221,"AD","AD"
"254","SRR16303487",0.0594704813192041,0.210646905586137,0.657142229803479,0.0727403832911797,"Control","AD"
"255","SRR16303488",0.874349501388843,0.0480832440762152,0.064236917930422,0.0133303366045199,"AD","AD"
"256","SRR16303489",0.343855506577196,0.145668559799729,0.298625485603547,0.211850448019528,"AD","AD"
"257","SRR16303490",0.0813638510388982,0.151869743005959,0.42452961637175,0.342236789583393,"Control","AD"
"258","SRR16303491",0.403446749971877,0.0844390664194744,0.17608498382494,0.336029199783709,"AD","AD"
"259","SRR16303492",0.0762164269542454,0.332180735664115,0.186708275605677,0.404894561775963,"PD","AD"
"260","SRR16303493",0.0400095437281449,0.31919754664278,0.520952959937307,0.119839949691769,"Control","AD"
"261","SRR16303495",0.464112018094182,0.405154517695608,0.0818073010286759,0.0489261631815341,"AD","AD"
"262","SRR16303496",0.183505372710389,0.300462871767122,0.065182979229424,0.450848776293064,"PD","AD"
"263","SRR16303497",0.55429917430883,0.259499634669453,0.131534240977075,0.0546669500446418,"AD","AD"
"264","SRR16303498",0.129547423121954,0.0878747005123665,0.754389774918556,0.0281881014471241,"Control","AD"
"265","SRR16303499",0.111224057536798,0.305745075565222,0.498626676120844,0.0844041907771354,"Control","Control"
"266","SRR16303500",0.811283939184208,0.0309099985323753,0.0660300657571385,0.0917759965262779,"AD","AD"
"267","SRR16303501",0.727583791082156,0.166006606930801,0.0606647299960586,0.0457448719909841,"AD","AD"
"268","SRR16303502",0.320568640628157,0.204176614772261,0.20366737703249,0.271587367567092,"AD","AD"
